,timestamp,x,y,z,angle
2515,642.366667,35.20532542433007,-36.830431905867826,0.0,88.71544480774531
2516,642.533333,35.213130147187215,-36.71526208124484,0.0,89.90630733007666
2517,642.666667,35.21297388539414,-36.627248132476545,0.0,90.92085027806621
2518,642.833333,35.20583838457113,-36.5095186722235,0.0,90.38427641045085
2519,642.966667,35.20268503642066,-36.417630792583886,0.0,89.78577808042995
2520,643.1,35.200011813207894,-36.32279359274268,0.0,87.96272985797107
2521,643.233333,35.20351083535661,-36.22835080911895,0.0,85.68419260102378
2522,643.366667,35.20805840893399,-36.13120382165396,0.0,86.10129997231775
2523,643.5,35.22468699923256,-36.03784456443701,0.0,87.2773193426566
2524,643.633333,35.2283245086713,-35.94131505915963,0.0,89.06541675932161
2525,643.766667,35.22621938678386,-35.84671521615006,0.0,89.36858214212954
2526,643.9,35.22331350132723,-35.749701291991926,0.0,90.53473074841419
2527,644.033333,35.23230741278087,-35.65643253603415,0.0,89.33149362339361
2528,644.166667,35.24706652111953,-35.560515997122444,0.0,87.92336332279389
2529,644.3,35.25750633467279,-35.4620268456834,0.0,86.68821646019063
2530,644.633333,35.29773815220979,-35.220891714777046,0.0,87.17942455029834
2531,644.766667,35.29855136281535,-35.12638253080497,0.0,88.59775753546684
2532,644.966667,35.29123327081882,-34.99321710463514,0.0,88.33793758303644
2533,645.1,35.29360491558863,-34.89837317209946,0.0,86.90237921093012
2534,645.233333,35.29716624635121,-34.802331088371254,0.0,84.92745991111306
2535,645.366667,35.29682368531673,-34.702186237553555,0.0,85.06113830653898
2536,645.5,35.3073556036434,-34.61115850815992,0.0,85.77739950051905
2537,645.633333,35.30963411970636,-34.51659177506722,0.0,88.0594197270568
2538,645.766667,35.30662937149546,-34.42131953822084,0.0,88.6252095342524
2539,645.933333,35.303138907366,-34.29911570751219,0.0,88.88572598421963
2540,646.1,35.314301808214424,-34.190752668809296,0.0,85.91640919847084
2541,646.266667,35.32597387533214,-34.05805185487403,0.0,83.95892107670859
2542,646.4,35.3319362459717,-33.960143889224426,0.0,85.11537712493973
2543,646.6,35.35249946388732,-33.81434637178036,0.0,87.38727627778293
2544,646.733333,35.35961836232056,-33.720314163699676,0.0,88.6948292291132
2545,646.866667,35.358447146921584,-33.61830240113851,0.0,88.31378348384325
2546,647.0,35.36111680947474,-33.528611051310904,0.0,87.25413649048798
2547,647.133333,35.370667037739004,-33.433964231021896,0.0,85.25607893670019
2548,647.266667,35.38114574068245,-33.33820373800441,0.0,83.9852161168952
2549,647.433333,35.39906683371157,-33.219717289498696,0.0,84.53656649246318
2550,647.566667,35.40919845933897,-33.11901609066029,0.0,85.53423074937666
2551,647.733333,35.42011960107439,-33.00806387683748,0.0,87.79433255187243
2552,647.933333,35.412709038638,-32.87146820283613,0.0,87.85756341398381
2553,648.1,35.41981237925283,-32.763474009292636,0.0,86.12746833721468
2554,648.2,35.42461360468302,-32.695429120172115,0.0,84.83784135541447
2555,648.333333,35.42789185072006,-32.597500886630144,0.0,84.89769136219604
2556,648.466667,35.43416518356915,-32.504509181567045,0.0,85.80387882101287
2557,648.633333,35.44387112483594,-32.389203075426366,0.0,88.02714945053565
2558,648.833333,35.44020494342316,-32.244470463321235,0.0,89.46617500422494
2559,648.966667,35.44263039236725,-32.148683327261594,0.0,88.97135302226108
2560,649.1,35.44744916396663,-32.05899806871384,0.0,87.03286229059255
2561,649.2,35.45164264633046,-31.992077844082928,0.0,85.04991886967132
2562,649.3,35.45404517724651,-31.915387383235,0.0,84.26721935397191
2563,649.466667,35.460548392435626,-31.79236297230176,0.0,87.21299122926213
2564,649.566667,35.46806128699875,-31.72224011592064,0.0,89.00164986299545
2565,649.733333,35.465717098859066,-31.607565035185168,0.0,92.3412703363363
2566,649.866667,35.45853678258337,-31.511469743267817,0.0,93.65235054465556
2567,650.0,35.45947512911121,-31.421450814927848,0.0,92.41317557974799
2568,650.1,35.46225244890894,-31.348500648723704,0.0,90.35564055460436
2569,650.233333,35.46996341633711,-31.254179369605268,0.0,87.92506442801663
2570,650.366667,35.47591194761992,-31.1527962271735,0.0,87.92443029112258
2571,650.5,35.48371961164533,-31.061474733601845,0.0,89.33950486423439
2572,650.633333,35.48829197723834,-30.9710918996038,0.0,91.27658317169868
2573,650.766667,35.48781683044551,-30.88391000920237,0.0,92.67137612215068
2574,650.9,35.48085906904437,-30.790097788410797,0.0,92.81151975796789
2575,651.033333,35.478808386823964,-30.70044738679071,0.0,92.13539293204948
2576,651.166667,35.483170894307534,-30.60645545715677,0.0,90.87373727203664
2577,651.3,35.48378630841081,-30.50613015591918,0.0,90.42650443244014
2578,651.433333,35.48701880736144,-30.406809438067683,0.0,92.06300171053377
2579,651.566667,35.50187929953632,-30.3148122901208,0.0,92.6128326478666
2580,651.7,35.50462413777771,-30.216852650797176,0.0,94.52738765274007
2581,651.833333,35.50860499434744,-30.120514031135066,0.0,93.64112640737847
2582,651.966667,35.51361210695747,-30.027493977545188,0.0,92.72292111163769
2583,652.1,35.514868685899614,-29.93775560689945,0.0,90.44541840682602
2584,652.233333,35.52895918707033,-29.853837644131374,0.0,88.5757040392349
2585,652.366667,35.538069716025745,-29.759269224976183,0.0,87.0337095153432
2586,652.5,35.552544400562226,-29.667874079092513,0.0,87.65639293970277
2587,652.633333,35.559679994371166,-29.57488702752116,0.0,89.6287299728257
2588,652.8,35.565539645878744,-29.463750530059684,0.0,92.4929444982204
2589,652.933333,35.56423998497709,-29.36431091566853,0.0,93.13437016064023
2590,653.066667,35.56604373996335,-29.274415593294982,0.0,92.49971589846778
2591,653.2,35.57447914721902,-29.186929217241428,0.0,91.75284843866085
2592,653.333333,35.58161960567532,-29.091589029511557,0.0,90.1002708947647
2593,653.566667,35.60247955820283,-28.92955107902536,0.0,90.73906132285185
2594,653.7,35.603742527673795,-28.828171666055717,0.0,92.25463493004183
2595,653.833333,35.59812863111642,-28.732789935815436,0.0,94.32328509086588
2596,653.966667,35.5900400648388,-28.638036195057182,0.0,94.89870874299366
2597,654.133333,35.59287464912573,-28.52287391809753,0.0,92.99202046098621
2598,654.266667,35.60250989730275,-28.433328514837736,0.0,89.76814178173314
2599,654.4,35.60619439484624,-28.332256743196822,0.0,88.96556276925224
2600,654.533333,35.6111097586617,-28.234079060259475,0.0,90.17447146998322
2601,654.666667,35.61533025926715,-28.131455154415836,0.0,90.55701817179252
2602,654.833333,35.616729696444835,-28.02140296664243,0.0,93.78811253558688
2603,655.0,35.61013899430193,-27.90808370832025,0.0,93.87207792912362
2604,655.166667,35.614169261805614,-27.797488078318402,0.0,91.51155448966588
2605,655.333333,35.62217810970235,-27.683050383827833,0.0,89.4365051918517
2606,655.466667,35.630418775634645,-27.59096043136956,0.0,90.50528435107445
2607,655.633333,35.63629516720637,-27.47332757600804,0.0,90.8659232663767
2608,655.766667,35.63664142350157,-27.381267147521655,0.0,93.11893071400708
2609,655.933333,35.630280374938316,-27.266625484193955,0.0,94.84152455282619
2610,656.1,35.63403314427003,-27.159496610862288,0.0,93.19940522618768
2611,656.266667,35.64123617188195,-27.041432219654258,0.0,89.54385602944903
2612,656.4,35.64326284091469,-26.94024412225405,0.0,88.80297653973557
2613,656.533333,35.64737414885974,-26.841275998626482,0.0,89.45817030942648
2614,656.666667,35.65301468172969,-26.74644415560792,0.0,90.7592619403415
2615,656.833333,35.64723195473203,-26.630784593308423,0.0,92.88669273397677
2616,656.966667,35.63539503466359,-26.531583653887445,0.0,94.25247400950155
2617,657.133333,35.62109386654811,-26.41500823877234,0.0,93.55033278332107
2618,657.3,35.619738754386624,-26.308826688681023,0.0,93.6754982712668
2619,657.5,35.61978546512504,-26.16150429523939,0.0,93.39741515322082
2620,657.666667,35.62555943756598,-26.04125610123572,0.0,95.7046988819311
2621,657.866667,35.61535070192691,-25.907991092877424,0.0,97.41132106295859
2622,658.066667,35.605416802096215,-25.766768140442384,0.0,97.18116398049477
2623,658.266667,35.618750880967184,-25.632374242614976,0.0,91.29490151693645
2624,658.466667,35.61919251270126,-25.485331485572306,0.0,89.35039895614803
2625,658.7,35.61796879545963,-25.31082109004932,0.0,94.18275151395687
2626,658.9,35.61690084038061,-25.181021513047188,0.0,97.93486964341264
2627,659.066667,35.6076459080366,-25.066230083445845,0.0,97.67494695654088
2628,659.233333,35.60933499120853,-24.95971736386529,0.0,95.83463306093384
2629,659.4,35.60744209280693,-24.847151888145977,0.0,93.88855047665243
2630,659.566667,35.61208237052306,-24.72881720010317,0.0,95.17708956225005
